pack_id,pack_name,frequency,mean_cosine_distance_to_co_shared
334200,"Democrat Senators, Gov'ns, Congress Wo/Men",15,0.6191564679145813
30822,"Just Live, Who Gives A F***",15,0.7411165118217469
25774,#InternationalFriendshipDay Starter Pack,15,0.6271170179049174
102926,UK MPs 2024,15,0.4600071946779887
297910,Artists You Should Follow,15,0.4840182860692342
263403,The Defenders of Democracy Friends & Allies,15,0.45788960456848143
223492,Art Game Dev Pack,15,0.5293846090634664
188745,UK MPs and MSPs,15,0.5615020593007406
361016,Rosalind Barden author's Starter Pack,15,0.4966687520345052
16896,1st and Down Bad- Chiefs Kingdom Swifties,15,0.5687681555747985
107276,Swiftie starter pack,15,0.4169332146644592
239811,US Labor Unions & Friends,15,0.39341512123743694
197946,50501 Groups,15,0.34385270277659097
93807,Active and interacting FPL accounts,15,0.40199649731318154
25779,Star Trek Meet & Greet #2,14,0.7398314646312169
32087,People  think are excellent,14,0.9337324457509177
59818,Microsopy and image analysis - a subset,14,0.7267811724117824
319465,Artists,14,0.7822077998093196
193647,MLB Bluesky Mega Starter Pack,14,0.5082984609263284
10526,Lit mags and small presses!,14,0.426727580172675
39422,Strictly Builders,14,0.6110257250922067
61445,Bonde da Ilustração,14,0.5053463365350451
112642,NBA Twitter,14,0.6543586466993604
214728,Skyefrost k1 Art moots,14,0.5372943537575858
82726,NAFO Starter Pack 1,14,0.4677874871662685
151189,A BULLY BOY CHICKEN BEHIND BARS CARTOON,14,0.6717062166758946
340519,Prince Toby's Starter Pack,14,0.515442601272038
54527,Psychedelics Starter Pack,14,0.480099367243903
211242,Mind Lumen's Starter Pack,14,0.5420022053377969
92695,"Crime, thriller and mystery writers",14,0.4645862579345703
165674,SWIFTIE STARTER PACK,14,0.3968868340764727
207410,The Defenders of Democracy Friends & Allies #1,14,0.4579754429204123
241192,NUFC starter pack Nov - 2024,14,0.49937457697732107
51351,Active Vegan & Animal Rights Accounts,14,0.4890893314565931
313820,Vegan Friends,14,0.437556403023856
41067,Amazing Pixel Artists (Part 1),14,0.4084848591259548
13551,Game Artists You Should Follow Right Now,14,0.4985753042357309
168943,Great Game Dev Artists,14,0.45171424746513367
343212,Fantasy & Indie Sex Toy Makers,14,0.38930046558380127
140205,Artists to follow,13,0.5524858373862046
259965,‪witchdoctor01.bsky.social‬'s Starter Pack,13,0.6662428608307471
203629,Blue Liberty Starter Pack,13,0.7366744004763089
51611,"Crime, mystery &thriller",13,0.6109900428698614
92868,Thunder's Starter Pack III,13,0.619770701114948
319464,My 3rd Starter Pack - Great peeps to follow,13,0.7654827558077298
287388,Indivisible on Bluesky 2,13,0.5879840071384723
299503,Bsky Fellas 1,13,0.6796987652778625
334655,Writer Starter Pack - Part 1,13,0.5612942117911118
25773,George’s Birthday Bash Starter Pack,13,0.6533454885849586
349064,I Just Think They're Neat,13,0.6028958559036255
92306,BatteriesNI's Starter Pack,13,0.5883676226322467
154020,🌈 Xarek's Gay (Real Men) Starter Pack 💪!,13,0.6499588581231924
25766,Kinley 🦋 Brenda Starter Pack #21,13,0.5350450644126306
29482,Crème de la Crème of Indie Hackers 🦋,13,0.5917766736103938
48866,#1 MUFC - Manchester United - by MUST,13,0.5367789635291467
51101,Best of the best!,13,0.7848936731998737
151173,TRUDEAU'S SOCIAL MEDIA CANADA #PoliticalSatire,13,0.7007223734488854
151174,INTERNATIONAL AID DEVELOPMENT AGENCIES UK CA,13,0.7020551974956806
43440,Incredible Artists 🖤,13,0.5340055594077477
348284,Awesome creatives! 🦋🎨✨,13,0.5357310359294598
25764,Kinley 🦋 Brenda Starter Pack #19,13,0.5586331486701965
212871,Literary Agents and Agencies,13,0.5569206613760728
146624,Amazing Artists,13,0.572062992132627
