var,mean,median,q1,q3,iqr
shared_packs,8.259972337773664,5.0,3.0,7.0,4.0
n_eff,4.293247784148639,2.9116454441735007,1.8278887681550797,4.032041443515051,2.204152675359971
n_eff/shared_packs,0.6908067509189759,0.6738484166506766,0.5652394136987889,0.8002070708531879,0.23496765715439893
frac_reduced,0.877334329033242,,,,
frac_n_eff_eq_1,0.131947767826622,,,,
