hops,"gap_>3_minus_[1,3]",gap_ci_low,gap_ci_high,"ratio_[1,3]/0",ratio_ci_low,ratio_ci_high,"log_ratio_[1,3]/0",log_ci_low,log_ci_high
1,0.025610737236500675,0.023024535516980735,0.027667764610634728,1.8211843842921853,0.9501231601646868,5.075884033344328,0.6961138868801529,-0.14849450883948928,1.69891920089222
2,0.029291782159266255,0.026642153356267087,0.031584872283524724,2.3122824898716883,2.16504767894628,2.443253505366892,1.0226224701795643,0.9464240054016476,1.0911690117531425
3,0.02780996345763008,0.019888994566354797,0.03452240236598994,2.9055597445809838,2.772445395000803,3.06708428311188,1.2512027386643454,1.1895080932286537,1.3156013824370274
far,0.017982869306845534,0.011984331818046427,0.033088457832565206,4.943958780310167,4.526891096856697,5.395004143526718,1.7713918212927808,1.5735760726383805,1.8903497638802405
