max_df,n_fit_docs,cut_df_count,vocab_size,sim_s0,sim_s1,sim_s4,sim_s8,matched_s1,matched_s8,delta_s1,delta_s8,ratio_s1,ratio_s8,beta_1_8,n_pairs,n_zero_vectors_in_fit_corpus
0.2,220796,44159.200000000004,367290,0.014859568715710382,0.07309354498972902,0.10283633613835724,0.11319668125191631,0.0307732014104962,0.0439866164249765,0.04232034357923282,0.06921006482693981,2.3752336981357454,2.573434613798595,0.005604109059186459,212514,16
0.3,220796,66238.8,367854,0.021305265561171665,0.09003080237933361,0.12258345955158839,0.13470886486989941,0.0425085162559162,0.0595778969823406,0.04752228612341741,0.07513096788755881,2.117947421107727,2.2610543791068736,0.006298607648946938,212514,15
0.4,220796,88318.40000000001,368113,0.027696944634771088,0.10403108068834489,0.1382318532130297,0.1514496869041778,0.0528069208277342,0.0724334907298626,0.05122415986061069,0.07901619617431518,1.9700273952293723,2.0908793070459972,0.0067087304559353125,212514,5
0.5,220796,110398.0,368239,0.033112125004956555,0.11404441532011746,0.14903116080814613,0.16282147021955126,0.060825029270883,0.0820937174005791,0.05321938604923446,0.08072775281897217,1.8749586590780423,1.9833609120787934,0.0069051896573087395,212514,5
0.6,220796,132477.6,368299,0.038188640482064905,0.12150785238897088,0.1566638052901226,0.17066306195576725,0.0673217532929027,0.089260907521239,0.05418609909606818,0.08140215443452825,1.804882470311133,1.911957504074885,0.006950778059715437,212514,4
