shared_packs,n,ratio_mean,ratio_median,n_eff_mean
1,22791,1.0,1.0,1.0
2,22498,0.7916302093757238,0.8079263793158331,1.5832604187514476
3,23645,0.7110713368884364,0.7336513347272673,2.133214010665309
4,23993,0.6693375133352241,0.6830761995262796,2.6773500533408963
5,24173,0.6396257395728373,0.6498993366246566,3.198128697864186
6,24180,0.6176466836224815,0.6237046623319951,3.7058801017348904
7,24221,0.6022587721310471,0.6059583470354333,4.215811404917329
8,3667,0.586229984193373,0.5883223229395549,4.689839873546984
