pack_id,pack_name,frequency,mean_cosine_distance_to_co_shared
323506,Cam's Starter Pack,110,0.5357953098687258
332197,‪moviefanforever.bsky.social‬'s Starter Pack,110,0.6563416134227406
329769,Chasing cats's Starter Pack,110,0.5907709701494737
342913,‪luvnsummer.bsky.social‬'s Starter Pack,110,0.5795203431086107
266375,Margo’s Blue Starter Pack,110,0.5677922704003074
104363,DarkmatterDave's Starter Pack,110,0.6273263616995378
109120,Linda's Starter Pack,110,0.7189199615608562
152264,Smart and Fun Friends,109,0.8870402022239265
315350,Good skeeters with good takes,109,0.7862805379640072
51802,Kamala Buttigieg Newsom Democrat Starter Pack,109,0.7003335586381615
13860,@‪pdflowers.bsky.social‬'s Starter Pack,109,0.6084832428792201
299583,‪kelbylinn.bsky.social‬'s Starter Pack,109,0.582360938054706
241878,"Dede’s Progressive Starter Pack , Volume 2",109,0.6147745672715913
32882,Sam's Starter Pack,109,0.5285180774303752
59583,Cindy,109,0.8611617618744526
210017,Algorithm bot hunter General Commander and Lord Ha,109,0.9307172511695722
267858,Randall's Starter Pack,109,0.5465866699131257
190920,Jim Farley's Starter Pack,109,0.5855857117460408
183055,Alik's Starter Pack,109,0.534123573828181
333415,Ye the white whale of starter packs,109,0.6893990045293755
274658,Political Starter Pack,108,0.6126231242109228
94831,My 1st Starter Pack,108,0.5500436839130189
313310,Starter Pack Jan 25,108,0.5575843149865115
210018,Algorithm bot hunter General Commander and Lord Ha,108,0.9329179243908988
298775,The Rebel Alliance,108,0.8846357205399761
203402,KathyLoo Celebrates Resistors,108,0.7302853122905448
339821,Karen From Chicago's Starter Pack,108,0.6112833536333508
351198,MemDec2u's Starter Pack,108,0.6348544524775611
277072,Amanda's Starter Pack,108,0.6436081567296276
61628,"BDD's Brilliant Democracy Defenders, Vol. 1",108,0.6928195616713276
299935,SteveTank’s current starter pack,108,0.5490309502239581
274287,Jim Scott start pack.NO.10,107,0.6651892205265081
235403,Amalgamation Of Progressive People,107,0.6873453944642968
26608,Those in the Know,107,0.8335344245500653
175883,Citizen Therapists,107,0.9315313635585464
365544,Rush Starter Pack,107,0.6591017051277873
32592,TC’s - Stay Informed sources,107,0.8845196661548079
14133,Starter Pack,107,0.6072438225567898
106404,Diane's Starter Pack,107,0.5381334535429411
116998,Zusi Leguminati 🫘's Starter Pack,107,0.5769594523394219
241062,La Califorinqueña Dreamin’ start me up pack,107,0.7781446498131084
316931,The First 150,107,0.7387266866514616
274285,The Defenders of Democracy Starter Pack,107,0.709329150547491
351540,Emily Good's Starter Pack,107,0.5610849283565985
342243,Top Banana List,106,0.8090707822790686
274284,“No Kings Good Trouble”  starter pack,106,0.7418148416393208
257454,#SNB32~BW32~(BSKY 50K+)-Checking: July 10~❤️,106,0.7957201690044043
188483,‪avrill.bsky.social‬'s Starter Pack,106,0.5837014036358528
153435,Top 500 Bluesky Users - List #1,106,0.7932497814016523
28097,Bill Waxman's “True Blue” Starter Pack,106,0.670889546848693
2032,The Second Smooving,106,0.6253130475305161
49955,Jim Muir's Starter Pack,106,0.5698689093004983
66906,f trump starter pack,106,0.568029337334183
206327,Patti Piatt's Starter Pack,106,0.582586258649826
192259,Exchristian With Fundamentalist Nightmares,106,0.9267948787167387
131515,Stacey's Starter Pack,106,0.5673229396343231
252479,Kaybee’s Starter Pack,106,0.5724998094000906
318053,Mari's favorites,106,0.8086966461730454
345335,AM’s Starter Pack,106,0.6502921800568419
193197,‪pamelala.bsky.social‬'s Starter Pack,106,0.5722950578860517
364019,Rev. Steve's Starter Pack v2.0,106,0.576365591220136
210619,Michael Murch's Starter Pack,106,0.5183723135939184
299934,SteveTank's Starter Pack,106,0.5309028372449694
134482,JanD's Starter Pack,106,0.5461723838212356
53946,Knowledge is power,105,0.9225884363764808
280691,🙏🏾🗽#mybigfamily💐🙏🏾🗽#Unity,105,0.8260477690469651
207450,#1 Legends & Essential Follows,105,0.7965126559847877
307505,Colorado Mountain Man's Starter Pack,105,0.5805710679008848
311199,‪lisalou9.bsky.social‬'s Starter Pack,105,0.5927361953826178
320503,Lenore Koch's Starter Pack,105,0.5534583818344843
36199,"Ok, Atom's Starter Pack",105,0.5863294380051749
46378,Trump resistance Pack,105,0.7762769596917288
317412,RescueJen's Starter Pack,105,0.5058252232415336
72772,BringOn2025 Favorite Follows,105,0.717278592359452
284041,News and humor for my friends,105,0.8416023515519642
146809,Pam fella - not IC starter pack 16NOV24,105,0.6531934113729567
82818,‪jcarltonb.bsky.social‬'s Starter Pack,105,0.6246308775175186
85254,The Gabby Jerome's Starter Pack,105,0.6063814691134861
127710,‪maryblue8775.bsky.social‬'s Starter Pack,105,0.6019352157910665
156821,JustShowUp's Starter Pack,105,0.5473167317254203
260924,Classical Images's Starter Pack,105,0.656458484558832
110202,I Don't Know What to Call It,104,0.8552841194547139
82995,Meg's Starter Pack,104,0.5855484845546576
1315,The Jack Pack,104,0.7213263213634491
64659,LH's Starter Pack,104,0.49413283513142514
356190,For GiGi,104,0.898672036253489
284804,Kim's Starter Pack,104,0.52736218388264
201100,Jonathan's Starter Pack,104,0.4913830476311537
221893,Get response AI course creator.,104,0.9649009704589844
161716,Peeps you have to have 2,104,0.8354908033059194
67033,‪mamaspice.bsky.social‬'s Starter Pack,104,0.5665344045712397
136082,ImKris10-Y's Starter Pack,104,0.575546108186245
144887,B Hill's Starter Pack,104,0.528216747710338
157678,LALady's First Starter Pack,104,0.6372586053151351
