eps,term,coef,p,sign
0.01,n_eff:hops[2],0.0010017961284150589,1.2611092203730256e-06,1
0.01,n_eff:hops[3],0.006207583747043541,4.679306842071064e-54,1
0.01,n_eff:hops[far],0.0006048399908554566,0.021466213814071187,1
0.001,n_eff:hops[2],0.00124702564252774,6.542986580368996e-06,1
0.001,n_eff:hops[3],0.0091613797531744,2.326469825623926e-65,1
0.001,n_eff:hops[far],0.0015650870350764736,8.700747358686654e-06,1
0.0001,n_eff:hops[2],0.0013491218493547083,4.6170573435069414e-05,1
0.0001,n_eff:hops[3],0.010771406685727049,4.067143653873373e-63,1
0.0001,n_eff:hops[far],0.00223136748728166,1.1802938122821113e-07,1
