shared_packs,mean,std,count,err_low,err_high,ci_low,ci_high
1,0.15235031604223806,0.0711237011932392,100242,0.002686235069421117,0.002919107452708347,0.14966408097281694,0.1552694234949464
2,0.13550733235828874,0.07657317091557454,77247,0.00242440918902434,0.002474725672281297,0.1330829231692644,0.13798205803057004
3,0.08238450291214104,0.07743704508588227,10740,0.005944981838383809,0.00612888605406986,0.07643952107375723,0.0885133889662109
4,0.08353878963080526,0.08101353198579574,3419,0.011848719458426513,0.00904572460804838,0.07169007017237874,0.09258451423885364
