hops,hops_int,slope,ci_low,ci_high,n_pairs
1,1,0.0005239815938864875,0.0003409525466217062,0.0007807961523913885,100242
2,2,0.000555370382894254,0.00037012933649343085,0.0008510835095549343,77247
3,3,0.000623778365613165,0.00015099546548049777,0.0018023353826319927,10740
unreachable,4,7.990914784392949e-05,-0.00023562573560823854,0.0006104479053636168,3419
