model,cg_coef,ci_low,ci_high,ols_coef
cosine ~ cg,0.0005504439445579667,0.0004004328162654997,0.0007953134587686965,0.0005504439445579663
cosine ~ cg + C(hops),0.0005210260601248586,0.0003797001295923741,0.0007390615177191535,0.0005210260601248662
