s_raw,mean_cosine,std,count,err_low,err_high,ci_low,ci_high
0,0.027696944634771094,0.033022323675965956,22363,0.0007372241376496155,0.0007305432815481253,0.02695972049712148,0.02842748791631922
1,0.10403108068834489,0.06966005681371575,22791,0.0017541517099167736,0.0017526978664999388,0.10227692897842812,0.10578377855484483
2,0.1190347242854641,0.07313921091804632,22498,0.002116308771570888,0.0019352187944308152,0.11691841551389322,0.12096994307989492
3,0.13243538180315922,0.07480117200969336,23645,0.0026942086956654177,0.0024917665438868586,0.1297411731074938,0.13492714834704608
4,0.1382318532130297,0.07670013523273415,23993,0.003118070936840134,0.002527415622185225,0.13511378227618956,0.14075926883521492
5,0.1413133103502967,0.07766090205458778,24173,0.0033407589828765294,0.0031427979853905497,0.13797255136742018,0.14445610833568726
6,0.14510942907221272,0.07896084732947307,24180,0.003884532675155483,0.0035486388353463683,0.14122489639705724,0.1486580679075591
7,0.14834164088993138,0.07933862182641532,24221,0.004471012332816909,0.003521989206630799,0.14387062855711447,0.15186363009656217
8,0.1585670346219369,0.08391526584661886,24650,0.005829111756274291,0.004747056160542995,0.1527379228656626,0.16331409078247988
