shared_packs,mean,std,count,err_low,err_high,ci_low,ci_high
0,0.027696944634771094,0.033022323675965956,22363,0.0007372241376496155,0.0007305432815481253,0.02695972049712148,0.02842748791631922
1,0.10544303436374539,0.07059133692016145,33447,0.0015084867778725336,0.0017450260467278267,0.10393454758587285,0.10718806041047321
2,0.1263681835976207,0.07504541349697665,42959,0.0026672533221043515,0.00224367038498105,0.12370093027551635,0.12861185398260175
3,0.13885925466133256,0.07725260780885518,44980,0.0035669191708137815,0.0028906420479163086,0.13529233549051878,0.14174989670924887
4,0.14943196034826872,0.0781792009381758,35340,0.003287073955445946,0.0027270042033699093,0.14614488639282278,0.15215896455163863
5,0.1600287862433821,0.0768778821921462,14861,0.0037101276466473265,0.003526235740934164,0.15631865859673477,0.16355502198431626
6,0.15722816475902232,0.0796700939916042,4555,0.005337838840515363,0.005045810429077091,0.15189032591850696,0.1622739751880994
7,0.15827392745484103,0.08038304640521925,2601,0.006949674194994954,0.00666654108470266,0.15132425325984608,0.1649404685395437
8,0.1696325987244684,0.08515424007506486,11408,0.0073243547884727644,0.006488834234333746,0.16230824393599563,0.17612143295880214
