k_u,k_v,cosine
9,151,0.10180070099225519
7,61,0.10254598925702325
5,10,0.13120394599002433
20,536,0.07700871060224553
19,195,0.18851592912716908
52,195,0.1333541739606684
5,195,0.18200128653963993
9,16,0.0710711162606099
4,66,0.07491730868447444
60,98,0.019876330660419862
3,6,0.029440570520763473
7,24,0.028116160873261707
24,542,0.10012629553499737
6,48,0.06619542081569849
21,62,0.12905030546502888
2,193,0.21288203639170178
3,4,0.06242843126755032
14,15,0.11393449265940246
6,14,0.005318050876525477
3,9,0.06799429544619887
3,156,0.18128819498961035
6,25,0.16119405275280782
55,27914,0.04724638704460932
3,57,0.13742322056850692
3,4,0.024206705446089452
4,10,0.08696948928954076
8,9,0.14284828404476305
2,3,0.2310120290745501
2,3,0.04303884170728775
14,16,0.07449940008374391
14,129,0.07009361079731592
4,5,0.07391892072406747
21,118,0.1374274900975424
70,773,0.13919664411618562
35,46,0.039266224574658226
13,29,0.21440775070560184
3,24,0.07457982232075074
4,38,0.008444194657239336
10,25,0.2323592919895714
5,45,0.10418620207565818
14,21,0.16782893306668034
4,5,0.04914623199507861
2,30,0.06021459317588959
3,29,0.1906419056996912
3,16,0.050098465529671656
2,3,0.014978514555848178
3,3,0.006917904943228751
6,17,0.019777773901701285
2,2657,0.06138798793232932
15,56,0.18724901293402008
11,17,0.13105835094824309
26,51021,0.2278898833576953
4,8,0.1103656670395473
9,18,0.24825912079966295
3,23,0.082858502023086
5,167,0.10699169470438974
2,1226,0.052697066019096094
15,1226,0.13242473736969365
319,1226,0.04626129244521502
6,1226,0.1453447531655344
12,1226,0.04167265436951971
29,1226,0.073632199988853
3,147,0.07141789143328085
147,1182,0.16554082491410577
147,1610,0.17102072656916617
12,19,0.21264081904380108
2,3,0.010554923412537892
5,11,0.2452763846245205
2,3,0.07685140973395725
2,20003,0.17970513892251466
3,12,0.0801206150387522
9,16,0.0881730870793761
30,61,0.150676914535105
86,1271,0.0919262499664163
11,71,0.11207993873626769
6,68,0.19318387913369583
6,25,0.12012010002999794
27,63,0.1736632601539788
10,63,0.090158347847374
5,14,0.11442678968953153
8,51,0.007808577325847465
3,10,0.01385863592284012
3,14,0.06159693062116186
6,43,0.08663511059370459
5,9,0.08774891797556228
4,5,0.13348197179707028
32,36,0.14487355987371447
2,421,0.03204368320040267
25,121,0.010436227397756534
58,114,0.1668005810718028
20,65,0.11343556517718448
2,9,0.04144472450531859
25,35,0.07083374974316949
7,12,0.1317313331105915
26,232,0.0766567054816439
10,26,0.02849405717200581
6,9,0.17482939023980126
12,70,0.24784051406069127
25,96,0.10308755935454497
6,3026,0.09273595619046207
5,12,0.0324007344412618
13,47,0.01920280105676759
2,12,0.2136636418419588
7,19,0.040870096966309416
2,2,0.023712718674254073
10,104,0.026644171523725564
4,104,0.0394080048741926
4,13,0.04992184222383112
32,63,0.15488864889638418
4,175159,0.020464375736413045
7,8,0.0484742027294158
13,214,0.21492887454120924
6,26,0.08977659760326528
186,911,0.12165641886792641
7,3999,0.025189850430159498
4,1185,0.04584215785137262
37,1185,0.11310524783284975
12,329,0.15896547781845077
3,12,0.15729211741678795
5,21,0.14453247800557348
12,66,0.08909030461837388
17,20,0.03367320086748961
17,1395,0.053519927241652214
