s_raw,mean_cosine,std,count,err_low,err_high,ci_low,ci_high
0,0.027696944634771094,0.033022323675965956,22363,0.0007372241376496155,0.0007305432815481253,0.02695972049712148,0.02842748791631922
1,0.10403108068834489,0.06966005681371575,22791,0.0017541517099167736,0.0017526978664999388,0.10227692897842812,0.10578377855484483
2,0.1190347242854641,0.07313921091804632,22498,0.002116308771570888,0.0019352187944308152,0.11691841551389322,0.12096994307989492
3,0.13243538180315922,0.07480117200969336,23645,0.0026942086956654177,0.0024917665438868586,0.1297411731074938,0.13492714834704608
4,0.1382318532130297,0.07670013523273415,23993,0.003118070936840134,0.002527415622185225,0.13511378227618956,0.14075926883521492
5,0.1413133103502967,0.07766090205458778,24173,0.0033407589828765294,0.0031427979853905497,0.13797255136742018,0.14445610833568726
6,0.14510942907221272,0.07896084732947307,24180,0.003884532675155483,0.0035486388353463683,0.14122489639705724,0.1486580679075591
7,0.14834164088993138,0.07933862182641532,24221,0.004471012332816909,0.003521989206630799,0.14387062855711447,0.15186363009656217
8,0.15144968690417784,0.08003429720978349,3667,0.005468892635819594,0.005161898039164503,0.14598079426835825,0.15661158494334235
9,0.15227290981456698,0.08121883147028565,2747,0.006904641965316399,0.006375532031925341,0.14536826784925058,0.15864844184649232
10,0.15141682283188235,0.08292038956943996,2193,0.007045245406539502,0.006416232565057689,0.14437157742534285,0.15783305539694004
11,0.15247570971575022,0.08130698671946299,1659,0.00884234834670633,0.007297501677836743,0.1436333613690439,0.15977321139358697
12,0.15949665899664878,0.07997738414584944,1367,0.007971978425221266,0.008196018652481402,0.1515246805714275,0.16769267764913018
13,0.15863608010498675,0.08573168967544396,1125,0.010236596349842891,0.010822343515703547,0.14839948375514386,0.1694584236206903
14,0.15445933264923117,0.08091474435070369,996,0.010810598380189634,0.00960564688000437,0.14364873426904154,0.16406497952923554
15,0.15505138038807717,0.08362207963624417,839,0.011468842514695488,0.01051507431501772,0.14358253787338168,0.1655664547030949
16,0.15858175715671358,0.08146669580901164,682,0.012033347102964415,0.010909860112990222,0.14654841005374916,0.1694916172697038
17,0.15865969894009804,0.08504251180091554,604,0.013096301480694295,0.011887851444792735,0.14556339745940375,0.17054755038489078
18,0.15407140678150508,0.08451540825123403,593,0.01159424610279336,0.012113734594087794,0.14247716067871172,0.16618514137559287
19,0.15243630866583374,0.0822762892305851,455,0.01436734322479602,0.012950046968194212,0.13806896544103772,0.16538635563402795
20,0.1555832124119703,0.08552647695475056,458,0.01556668364995939,0.016693917535420766,0.1400165287620109,0.17227712994739106
21,0.15410686945574367,0.08937304163010976,403,0.017370660242062852,0.014166911026495727,0.13673620921368082,0.1682737804822394
22,0.16017182364862487,0.08544253234250833,340,0.01776667830604456,0.015493061183559365,0.1424051453425803,0.17566488483218423
23,0.15989446568836985,0.08314422892447669,307,0.016513762907152646,0.016755115369480683,0.1433807027812172,0.17664958105785053
24,0.1556733171393508,0.0842769610792182,267,0.01888540684647158,0.016780853862697537,0.1367879102928792,0.17245417100204832
25,0.17256174166265992,0.08761190386631779,5948,0.009838554432222396,0.008735804225276339,0.16272318723043752,0.18129754588793626
