s_raw,s_eff,cosine
1,1.0,0.029751875968132523
1,1.0,0.07069654070928069
1,1.0,0.2060257583644612
1,1.0,0.22387187830628857
1,1.0,0.04778869589294203
1,1.0,0.09028633513079187
1,1.0,0.08370673168205459
1,1.0,0.11269496894216358
1,1.0,0.05741000966658811
1,1.0,0.035472518228325776
1,1.0,0.11956157082812983
1,1.0,0.2756438522736776
1,1.0,0.07331039406140286
1,1.0,0.05051940848026752
1,1.0,0.1997147150525721
1,1.0,0.022988494806202787
1,1.0,0.009076522371464248
1,1.0,0.03519156652374547
1,1.0,0.03978677370561996
1,1.0,0.0052281294618747665
1,1.0,0.15166743362597018
1,1.0,0.2029497054379914
1,1.0,0.05544827283850803
1,1.0,0.23984178276090448
1,1.0,0.14068720631709072
1,1.0,0.010773998285704365
1,1.0,0.0708864194999641
1,1.0,0.25747389507409113
1,1.0,0.05482958271708914
1,1.0,0.1400639916165294
1,1.0,0.16457577811372362
1,1.0,0.058544494015580886
1,1.0,0.23078843808330504
1,1.0,0.05312653348055719
1,1.0,0.030220281480593046
1,1.0,0.009731016328784424
1,1.0,0.03519465405541509
1,1.0,0.0
1,1.0,0.12236215355118098
1,1.0,0.15778971596701075
1,1.0,0.14845763336338685
1,1.0,0.04994548693784937
1,1.0,0.04664427694357508
1,1.0,0.05204139625952955
1,1.0,0.14751344319531157
1,1.0,0.11352242915601388
1,1.0,0.11797392639382975
1,1.0,0.03908200944940168
1,1.0,0.10377999885122445
1,1.0,0.06600639556412538
1,1.0,0.331360336628462
1,1.0,0.07034056700982276
1,1.0,0.020456342988019488
1,1.0,0.13101931608550854
1,1.0,0.15773009541488403
1,1.0,0.259400931434679
1,1.0,0.03383022476249642
1,1.0,0.05305146530739114
1,1.0,0.09739753277342822
1,1.0,0.0453557909835199
1,1.0,0.029551092376289625
1,1.0,0.12132124371774806
1,1.0,0.049410303187148286
1,1.0,0.04138539345780714
1,1.0,0.034579502099458
1,1.0,0.08410620659458026
1,1.0,0.0017563853414879595
1,1.0,0.09880075444272907
1,1.0,0.1344773026793717
1,1.0,0.22436942431166998
1,1.0,0.020718534400280233
1,1.0,0.0974969684436021
1,1.0,0.08299413060744638
1,1.0,0.06941777640301193
1,1.0,0.21421384862131976
1,1.0,0.05035091992725388
1,1.0,0.0751031116528054
1,1.0,0.08448487870151472
1,1.0,0.0673480941654116
1,1.0,0.08965421337275098
1,1.0,0.03713963780598196
1,1.0,0.102276400703574
1,1.0,0.11936188425703691
1,1.0,0.06085880333767407
1,1.0,0.0926490470800364
1,1.0,0.07366976066272468
1,1.0,0.07483590962512042
1,1.0,0.005782355701647646
1,1.0,0.08810808585223226
1,1.0,0.23441471606272396
1,1.0,0.2899229604315869
1,1.0,0.07133471988307133
1,1.0,0.010348890625986235
1,1.0,0.08420326339636384
1,1.0,0.12184214973143709
1,1.0,0.15022963483946744
1,1.0,0.21242257191950953
1,1.0,0.04319267390696061
1,1.0,0.19397006592573904
1,1.0,0.03667177700579122
1,1.0,0.02838391648177542
1,1.0,0.09645851263367135
1,1.0,0.11596347490846684
1,1.0,0.17263322236651782
1,1.0,0.05047350951371899
1,1.0,0.06272197462553127
1,1.0,0.05080214116991641
1,1.0,0.028968784873940594
1,1.0,0.03666710177574643
1,1.0,0.12030332555790688
1,1.0,0.1337022262375681
1,1.0,0.15897367172746113
1,1.0,0.1657041206377381
1,1.0,0.0044948112215866904
1,1.0,0.03290904100319215
1,1.0,0.24890896429930004
1,1.0,0.03228055583812245
1,1.0,0.14153131853985274
1,1.0,0.04310382474037831
1,1.0,0.29003347704350935
1,1.0,0.06213380326609259
1,1.0,0.08399571602487933
1,1.0,0.1033584482897723
1,1.0,0.10608163872195789
1,1.0,0.10061388593345275
1,1.0,0.0334763094801624
1,1.0,0.1777548011921523
1,1.0,0.23863359137956952
1,1.0,0.14233802217851022
1,1.0,0.12738388098901454
1,1.0,0.16009173802850107
1,1.0,0.09534768487098794
1,1.0,0.01694946937856611
1,1.0,0.11885714248744991
1,1.0,0.06850237935653943
1,1.0,0.07240522776463298
1,1.0,0.06954279734147889
1,1.0,0.1790815834949389
1,1.0,0.1239551783111133
1,1.0,0.0
1,1.0,0.2830990901336651
1,1.0,0.11181973959786848
1,1.0,0.1176722759648218
1,1.0,0.01722484155417725
1,1.0,0.0019946658528807045
1,1.0,0.11157809366512551
1,1.0,0.10657851602132837
1,1.0,0.2742694558137947
1,1.0,0.1111415663159285
1,1.0,0.04342569731857486
1,1.0,0.14741062143301004
1,1.0,0.02760079549142075
1,1.0,0.11851471169826694
1,1.0,0.06647961271193016
1,1.0,0.1555248355251443
1,1.0,0.1345351552562816
1,1.0,0.269688881503189
1,1.0,0.22026154963439462
1,1.0,0.0844290388255485
1,1.0,0.004717254765823473
1,1.0,0.06971938712459172
1,1.0,0.029084579896421804
1,1.0,0.07875958700432606
1,1.0,0.15522206257462023
1,1.0,0.27249146208012753
1,1.0,0.03189076797311884
1,1.0,0.04945533215864351
1,1.0,0.08707843941605581
1,1.0,0.08382752615829804
1,1.0,0.07346109350608446
1,1.0,0.177654803419457
1,1.0,0.19510020170811238
1,1.0,0.21853135798082957
1,1.0,0.15729402683743102
1,1.0,0.15208609815659607
1,1.0,0.011542369048681068
1,1.0,0.1264864959188754
1,1.0,0.06647193684363785
1,1.0,0.07914888673266843
1,1.0,0.185436860532834
1,1.0,0.050863557935919027
1,1.0,0.110019291912444
1,1.0,0.18148958233504509
1,1.0,0.015330088271746516
1,1.0,0.07528100907313773
1,1.0,0.1299265682546713
1,1.0,0.05089809045011787
1,1.0,0.08772636799636088
1,1.0,0.08281478925551357
1,1.0,0.01938862270642314
1,1.0,0.053693247393252055
1,1.0,0.18879887736170337
1,1.0,0.1029108195384572
1,1.0,0.018998628042724647
1,1.0,0.005219164182105371
1,1.0,0.08739493680888721
1,1.0,0.061067151950791966
1,1.0,0.18214631052984886
1,1.0,0.25735327501439
1,1.0,0.12670857764354498
1,1.0,0.1392770936588711
1,1.0,0.04631640783626963
1,1.0,0.029135961994656127
1,1.0,0.028446900811116532
1,1.0,0.08479229376813592
1,1.0,0.05564174222333648
1,1.0,0.1538096841000945
1,1.0,0.1443034965976056
1,1.0,0.007490324787738608
1,1.0,0.07226045341644455
1,1.0,0.026587375990864314
1,1.0,0.17210590039202078
1,1.0,0.028967179715453734
1,1.0,0.042012430896577115
1,1.0,0.07420101825511957
1,1.0,0.09883157837571954
1,1.0,0.1704317868816536
1,1.0,0.10095418365951966
1,1.0,0.07120236275029529
1,1.0,0.09898778701668215
1,1.0,0.008777619456728253
1,1.0,0.14145290021384305
1,1.0,0.18073876450338214
1,1.0,0.12611453518034277
1,1.0,0.06017343191750935
1,1.0,0.24494549231028767
1,1.0,0.15593178735958282
1,1.0,0.2752113868219301
1,1.0,0.041006051296933396
1,1.0,0.008659231751923721
1,1.0,0.06220573389985401
1,1.0,0.0338692605461524
1,1.0,0.10454087517092522
1,1.0,0.05130014469583369
1,1.0,0.09079324335700525
1,1.0,0.018190279749306967
1,1.0,0.23677465263099273
1,1.0,0.026445363460608648
1,1.0,0.13791750537116937
1,1.0,0.04067578528885691
1,1.0,0.0785498975233715
1,1.0,0.198954431166806
1,1.0,0.1647210347876114
1,1.0,0.2523504123052645
1,1.0,0.2174117671620356
1,1.0,0.16629573531769642
1,1.0,0.08077865363794895
1,1.0,0.14437315173033038
1,1.0,0.12189172816331477
1,1.0,0.169623789857259
1,1.0,0.17444773408808936
1,1.0,0.06930902234006266
1,1.0,0.039731977651171285
1,1.0,0.05350955680332792
1,1.0,0.13773027824173184
1,1.0,0.0042009834206463955
1,1.0,0.05122592421775187
1,1.0,0.14024227200546052
1,1.0,0.16710553687819066
1,1.0,0.18943804266786912
1,1.0,0.07592477865469965
1,1.0,0.018931916822238708
1,1.0,0.005952393344118689
1,1.0,0.00921212614383578
1,1.0,0.11230295581943837
1,1.0,0.18911706656379923
1,1.0,0.028129866207975845
1,1.0,0.08036570272979587
1,1.0,0.06656784446410001
1,1.0,0.06807735485260548
1,1.0,0.1720890069082774
1,1.0,0.1481863515139316
1,1.0,0.1886531727617474
1,1.0,0.13102419419861536
1,1.0,0.2308078904875996
1,1.0,0.20215634018165718
1,1.0,0.1750391847652445
1,1.0,0.0349994428268296
1,1.0,0.018711514250556713
1,1.0,0.10118101356338875
1,1.0,0.19913399280350214
1,1.0,0.15329217621401897
1,1.0,0.1887720361124623
1,1.0,0.08263882207562176
1,1.0,0.12121308968097919
1,1.0,0.1502355981733978
1,1.0,0.04378564973160152
1,1.0,0.05581415195840203
1,1.0,0.2344364665807886
1,1.0,0.17484996171893363
1,1.0,0.015608788266540434
1,1.0,0.03234508679231108
1,1.0,0.03608603664008099
1,1.0,0.04763761015483024
1,1.0,0.03892721947331636
1,1.0,0.14700632754798812
1,1.0,0.05510853410014592
1,1.0,0.19952060398652505
1,1.0,0.04989249372001356
1,1.0,0.0113140276047058
1,1.0,0.011684527146233048
1,1.0,0.10297328411140243
1,1.0,0.11968533370085177
1,1.0,0.09362522819651758
1,1.0,0.02914765234147453
1,1.0,0.17248391322948464
1,1.0,0.23965628333356523
1,1.0,0.04251911693887698
1,1.0,0.20866207608530013
1,1.0,0.021897679755019994
1,1.0,0.22534102059643846
1,1.0,0.16028923315426855
1,1.0,0.1117627847398058
1,1.0,0.11903900370949938
1,1.0,0.07966664962849496
1,1.0,0.012303182748698061
1,1.0,0.009610012085384853
1,1.0,0.008437487524675439
1,1.0,0.0546820931366975
1,1.0,0.008299496336387517
1,1.0,0.10021034918173
1,1.0,0.06370430618988042
1,1.0,0.07236615948213129
1,1.0,0.060488510185903545
1,1.0,0.03381552402113458
1,1.0,0.16395123941317064
1,1.0,0.08572296344426383
1,1.0,0.007077462163970712
1,1.0,0.023600752696023217
1,1.0,0.23281557640274977
1,1.0,0.036912585306313035
1,1.0,0.16354750124015083
1,1.0,0.06241571731780562
1,1.0,0.10372915889695092
1,1.0,0.0
1,1.0,0.02387291179899737
1,1.0,0.19719774320415345
1,1.0,0.12244354802976233
1,1.0,0.1558499197009824
1,1.0,0.08982523114949356
1,1.0,0.13174340563096995
1,1.0,0.1394259580354143
1,1.0,0.12611349489466367
1,1.0,0.10283794248546209
1,1.0,0.08732275732362135
1,1.0,0.03225332740643928
1,1.0,0.0782245724381857
1,1.0,0.03747845587735219
1,1.0,0.1172968229029632
1,1.0,0.08016347160633136
1,1.0,0.11948678154024225
1,1.0,0.07794371243070394
1,1.0,0.05842021171751004
1,1.0,0.0766173847310253
1,1.0,0.023274135756267928
1,1.0,0.1733357201445494
1,1.0,0.05506737050591592
1,1.0,0.07657894991155498
1,1.0,0.14306147852186202
1,1.0,0.037737177289212116
1,1.0,0.06930990700660253
1,1.0,0.05213742962296834
1,1.0,0.13052933366665762
1,1.0,0.013276846162707743
1,1.0,0.06653649441153314
1,1.0,0.12121055591812005
1,1.0,0.06267236137859122
1,1.0,0.25674910443269483
1,1.0,0.2317257723053725
1,1.0,0.04047163935045869
1,1.0,0.005462145392458746
1,1.0,0.07795949012614482
1,1.0,0.33837416030631606
1,1.0,0.0422664770736127
1,1.0,0.04970780036794542
1,1.0,0.12822117793010657
1,1.0,0.025671484829932686
1,1.0,0.15477350088347613
1,1.0,0.16308659369633444
1,1.0,0.023383765341767435
1,1.0,0.03993443135417824
1,1.0,0.03827349706585279
1,1.0,0.09203646452108472
1,1.0,0.09341985155230766
1,1.0,0.022817801998998917
1,1.0,0.08319835858945614
1,1.0,0.12056517885595457
1,1.0,0.11953018816459615
1,1.0,0.03893568438595577
1,1.0,0.04845509584122995
1,1.0,0.06218286613417345
1,1.0,0.08595839914197631
1,1.0,0.07771019288839597
1,1.0,0.0
1,1.0,0.06281916369439709
1,1.0,0.043065525215393294
1,1.0,0.1883650638160922
1,1.0,0.1459854906106665
1,1.0,0.18718971468769582
1,1.0,0.1367375731650939
1,1.0,0.21431980004146256
1,1.0,0.24655289545445708
1,1.0,0.21773839006814505
1,1.0,0.10625967740973241
1,1.0,0.02106297763106788
1,1.0,0.0806005245123749
1,1.0,0.03067511531918344
1,1.0,0.20386840582692106
1,1.0,0.22162229028245972
1,1.0,0.12775378285602237
1,1.0,0.11972350426585406
1,1.0,0.0
1,1.0,0.10419698050080325
1,1.0,0.08093639500175656
1,1.0,0.13712524591174263
1,1.0,0.07989734323771996
1,1.0,0.18948528733818357
1,1.0,0.02145758236722221
1,1.0,0.14507121691440153
1,1.0,0.10273764690925369
1,1.0,0.07032517663410187
1,1.0,0.19128201900448896
1,1.0,0.052536043989075236
1,1.0,0.10554300457734589
1,1.0,0.10008070519705747
1,1.0,0.020850247290275608
1,1.0,0.056920007129158345
1,1.0,0.016832963315033832
1,1.0,0.04866909603222456
1,1.0,0.16703921685267892
1,1.0,0.18348523344106515
1,1.0,0.03467557811323624
1,1.0,0.13727000483596086
1,1.0,0.06623319635812006
1,1.0,0.04936527982161469
1,1.0,0.11157719989377539
1,1.0,0.027311331519405877
1,1.0,0.06182655024422011
1,1.0,0.0613414402438766
1,1.0,0.0330900858045489
1,1.0,0.09874845349314001
1,1.0,0.04141895139550465
1,1.0,0.04961740008972177
1,1.0,0.1550654835039783
1,1.0,0.17002894447360012
1,1.0,0.01595393163669299
1,1.0,0.05474343238308666
1,1.0,0.22170108510536515
1,1.0,0.12301785180563629
