overlap_kind,bin,observed_mean_cosine,observed_err_low,observed_err_high,null_mean_cosine,null_err_low,null_err_high
s_raw,0,0.027696944634771094,0.0007372241376496155,0.0007305432815481253,0.11987136102468568,0.00010482158619813664,0.0001162190764953247
s_raw,1,0.10403108068834489,0.0017541517099167736,0.0017526978664999388,0.1464597308477263,0.0010894990053240128,0.0009341433820893863
s_raw,2,0.1190347242854641,0.002116308771570888,0.0019352187944308152,0.14548223152611495,0.0015128598796100845,0.001284452185369711
s_raw,3,0.13243538180315922,0.0026942086956654177,0.0024917665438868586,0.14284084606520203,0.002412067358948111,0.001981934447339989
s_raw,4,0.1382318532130297,0.003118070936840134,0.002527415622185225,0.1400964699629238,0.0023918181059269794,0.002118284502010681
s_raw,5,0.1413133103502967,0.0033407589828765294,0.0031427979853905497,0.13713212186095633,0.0025475357012695043,0.002741688013161353
s_raw,6,0.14510942907221272,0.003884532675155483,0.0035486388353463683,0.13530471808984193,0.003035466594921099,0.002742557373820703
s_raw,7,0.14834164088993138,0.004471012332816909,0.003521989206630799,0.13395354921919134,0.0035675398685316995,0.0033258056980691175
s_raw,8,0.1585670346219369,0.005829111756274291,0.004747056160542995,0.13332805224628047,0.0004659368683277154,0.0005603900221483604
s_eff,0,0.027696944634771094,0.0007372241376496155,0.0007305432815481253,0.11987136102468568,0.00010482158619813664,0.0001162190764953247
s_eff,1,0.10544303436374539,0.0015084867778725336,0.0017450260467278267,0.14639060717739746,0.0010255188890114786,0.0008787228647054168
s_eff,2,0.1263681835976207,0.0026672533221043515,0.00224367038498105,0.1446745369150511,0.0013161084522595734,0.0014093587917836659
s_eff,3,0.13885925466133256,0.0035669191708137815,0.0028906420479163086,0.14107279200573622,0.0017071792650626139,0.0015528296626059757
s_eff,4,0.14943196034826872,0.003287073955445946,0.0027270042033699093,0.13690583655618563,0.002185588192500837,0.0022124045817159543
s_eff,5,0.1600287862433821,0.0037101276466473265,0.003526235740934164,0.1342623523212427,0.0024500134179408772,0.0024097562688820406
s_eff,6,0.15722816475902232,0.005337838840515363,0.005045810429077091,0.13268713740223329,0.0028097137953111417,0.0032961016253401088
s_eff,7,0.15827392745484103,0.006949674194994954,0.00666654108470266,0.13162731958503113,0.0027487653116670396,0.002937600163897852
s_eff,8,0.1696325987244684,0.0073243547884727644,0.006488834234333746,0.13427218256288065,0.0006430267554404234,0.0007568943964602337
