hops,hops_int,slope,ci_low,ci_high,n_pairs
1,1,0.0002901513191642744,0.00015394342362966856,0.0006608854363045811,79013
2,2,0.00037192098133312287,0.0002335087236231157,0.0006143514444136219,94177
3,3,0.0005899341722597649,0.00016522619801393772,0.0035389376925874243,27978
unreachable,4,0.000160946469478991,6.01855144549678e-05,0.001602934623144051,11346
