model,cg_coef,ci_low,ci_high,ols_coef
cosine ~ cg,0.00041509450132739986,0.00024058897680535776,0.0007545798851299839,0.0004150945013274021
cosine ~ cg + C(hops),0.00031541349791176527,0.0001949755199531846,0.0005499639677677175,0.0003154134979117565
