term,ols_coef,boot_ci_low,boot_ci_high
Intercept,0.15376770858844,,
cg,0.0003154134979117565,0.0001949755199531846,0.0005499639677677175
hops[2],-0.026796741779693777,,
hops[3],-0.09640233075221243,,
hops[unreachable],-0.10326948404726456,,
