pair_id,user_a,user_b,P,statistic,signal,value
2,did:plc:dd3hvkvb2vpnu6zdzuu3ogzz,did:plc:dua3kl42nv2ggmpiqwzvoqlx,3,mean_interp,jac,2.665400093833605
2,did:plc:dd3hvkvb2vpnu6zdzuu3ogzz,did:plc:dua3kl42nv2ggmpiqwzvoqlx,3,effrank,emb,2.1041502884332277
2,did:plc:dd3hvkvb2vpnu6zdzuu3ogzz,did:plc:dua3kl42nv2ggmpiqwzvoqlx,3,rowsum,emb,1.3873290565228764
2,did:plc:dd3hvkvb2vpnu6zdzuu3ogzz,did:plc:dua3kl42nv2ggmpiqwzvoqlx,3,participation,emb,1.7402652332614277
2,did:plc:dd3hvkvb2vpnu6zdzuu3ogzz,did:plc:dua3kl42nv2ggmpiqwzvoqlx,3,effrank,jac(nonPSD),2.8477804171060255
2,did:plc:dd3hvkvb2vpnu6zdzuu3ogzz,did:plc:dua3kl42nv2ggmpiqwzvoqlx,3,rowsum,jac(nonPSD),2.280124488495046
2,did:plc:dd3hvkvb2vpnu6zdzuu3ogzz,did:plc:dua3kl42nv2ggmpiqwzvoqlx,3,participation,jac(nonPSD),2.7215112479100085
3,did:plc:h5qpca4x7ejxa6fzutcr62hg,did:plc:vdhjlmn5di7baavypo4m3tvh,4,count,all,4.0
3,did:plc:h5qpca4x7ejxa6fzutcr62hg,did:plc:vdhjlmn5di7baavypo4m3tvh,4,cluster_single,emb,2.098555113410375
3,did:plc:h5qpca4x7ejxa6fzutcr62hg,did:plc:vdhjlmn5di7baavypo4m3tvh,4,cluster_complete,emb,2.2075987979309746
3,did:plc:h5qpca4x7ejxa6fzutcr62hg,did:plc:vdhjlmn5di7baavypo4m3tvh,4,cluster_average,emb,2.1541064737541555
3,did:plc:h5qpca4x7ejxa6fzutcr62hg,did:plc:vdhjlmn5di7baavypo4m3tvh,4,mean_interp,emb,2.2401660384089745
3,did:plc:h5qpca4x7ejxa6fzutcr62hg,did:plc:vdhjlmn5di7baavypo4m3tvh,4,cluster_single,jac,3.8296608026586716
3,did:plc:h5qpca4x7ejxa6fzutcr62hg,did:plc:vdhjlmn5di7baavypo4m3tvh,4,cluster_complete,jac,3.851924456968827
3,did:plc:h5qpca4x7ejxa6fzutcr62hg,did:plc:vdhjlmn5di7baavypo4m3tvh,4,cluster_average,jac,3.843593294250395
3,did:plc:h5qpca4x7ejxa6fzutcr62hg,did:plc:vdhjlmn5di7baavypo4m3tvh,4,mean_interp,jac,3.862908150470229
3,did:plc:h5qpca4x7ejxa6fzutcr62hg,did:plc:vdhjlmn5di7baavypo4m3tvh,4,effrank,emb,2.572987328604113
3,did:plc:h5qpca4x7ejxa6fzutcr62hg,did:plc:vdhjlmn5di7baavypo4m3tvh,4,rowsum,emb,1.452417065638889
3,did:plc:h5qpca4x7ejxa6fzutcr62hg,did:plc:vdhjlmn5di7baavypo4m3tvh,4,participation,emb,1.951539571239112
3,did:plc:h5qpca4x7ejxa6fzutcr62hg,did:plc:vdhjlmn5di7baavypo4m3tvh,4,effrank,jac(nonPSD),3.9869051802726565
3,did:plc:h5qpca4x7ejxa6fzutcr62hg,did:plc:vdhjlmn5di7baavypo4m3tvh,4,rowsum,jac(nonPSD),3.5179321510545685
3,did:plc:h5qpca4x7ejxa6fzutcr62hg,did:plc:vdhjlmn5di7baavypo4m3tvh,4,participation,jac(nonPSD),3.9733172808941792
4,did:plc:6krr4zbfbff4zg46rhjxfq4d,did:plc:lxdkfhugs2vtbuexjjr2hjhw,5,count,all,5.0
4,did:plc:6krr4zbfbff4zg46rhjxfq4d,did:plc:lxdkfhugs2vtbuexjjr2hjhw,5,cluster_single,emb,2.4056374973217025
4,did:plc:6krr4zbfbff4zg46rhjxfq4d,did:plc:lxdkfhugs2vtbuexjjr2hjhw,5,cluster_complete,emb,2.536113352443327
4,did:plc:6krr4zbfbff4zg46rhjxfq4d,did:plc:lxdkfhugs2vtbuexjjr2hjhw,5,cluster_average,emb,2.44451754687619
4,did:plc:6krr4zbfbff4zg46rhjxfq4d,did:plc:lxdkfhugs2vtbuexjjr2hjhw,5,mean_interp,emb,2.775659810266096
4,did:plc:6krr4zbfbff4zg46rhjxfq4d,did:plc:lxdkfhugs2vtbuexjjr2hjhw,5,cluster_single,jac,3.533642679998425
4,did:plc:6krr4zbfbff4zg46rhjxfq4d,did:plc:lxdkfhugs2vtbuexjjr2hjhw,5,cluster_complete,jac,3.691480858195901
4,did:plc:6krr4zbfbff4zg46rhjxfq4d,did:plc:lxdkfhugs2vtbuexjjr2hjhw,5,cluster_average,jac,3.621496584244152
4,did:plc:6krr4zbfbff4zg46rhjxfq4d,did:plc:lxdkfhugs2vtbuexjjr2hjhw,5,mean_interp,jac,3.9160513348704384
4,did:plc:6krr4zbfbff4zg46rhjxfq4d,did:plc:lxdkfhugs2vtbuexjjr2hjhw,5,effrank,emb,2.931737362888316
4,did:plc:6krr4zbfbff4zg46rhjxfq4d,did:plc:lxdkfhugs2vtbuexjjr2hjhw,5,rowsum,emb,1.562365062370098
4,did:plc:6krr4zbfbff4zg46rhjxfq4d,did:plc:lxdkfhugs2vtbuexjjr2hjhw,5,participation,emb,2.1581245461595593
4,did:plc:6krr4zbfbff4zg46rhjxfq4d,did:plc:lxdkfhugs2vtbuexjjr2hjhw,5,effrank,jac(nonPSD),4.227779302948482
4,did:plc:6krr4zbfbff4zg46rhjxfq4d,did:plc:lxdkfhugs2vtbuexjjr2hjhw,5,rowsum,jac(nonPSD),2.4834040923060137
4,did:plc:6krr4zbfbff4zg46rhjxfq4d,did:plc:lxdkfhugs2vtbuexjjr2hjhw,5,participation,jac(nonPSD),3.6096694088414676
