shared_packs,n_obs,obs_mean_cosine,matched_zero_mean_cosine,diff_obs_minus_matched
1,22791,0.11404441532011746,0.06082502927088303,0.05321938604923443
2,22498,0.12923851870277234,0.06633319571147935,0.06290532299129299
3,23645,0.14309810834208753,0.0714978467461842,0.07160026159590333
4,23993,0.14903116080814613,0.07434958777300812,0.074681573035138
5,24173,0.15218585048985148,0.07685914947108022,0.07532670101877126
6,24180,0.15615486729327432,0.07810720018764225,0.07804766710563207
7,24221,0.1595869073018617,0.08042516999937685,0.07916173730248485
8,3667,0.16282147021955126,0.08209371740057915,0.08072775281897211
9,2747,0.16362741747682233,0.08404002716973764,0.07958739030708468
10,2193,0.16285191583681627,0.0834181391727268,0.07943377666408948
11,1659,0.16406597106271395,0.08268794885706979,0.08137802220564416
12,1367,0.17129073426462194,0.08365053275083319,0.08764020151378875
13,1125,0.17000875558275153,0.08683064125118063,0.0831781143315709
14,996,0.16594769371410667,0.0879970967326075,0.07795059698149917
15,839,0.16650592084966573,0.08558628195955062,0.08091963889011511
16,682,0.16971351343426128,0.08792989896016393,0.08178361447409735
17,604,0.1703215315928661,0.07803689895273216,0.09228463264013392
18,593,0.16566834299517352,0.07761489808933512,0.0880534449058384
19,455,0.1636203871134369,0.08178592849505113,0.08183445861838577
20,458,0.16660791371436803,0.08629450974599165,0.08031340396837638
21,403,0.16492360095303424,0.08208063195163405,0.08284296900140019
22,340,0.17116117053868407,0.08047999908808587,0.0906811714505982
23,307,0.17133260028100522,0.08389023112915447,0.08744236915185075
24,267,0.16735079747455675,0.08344694357781438,0.08390385389674238
25,247,0.17415598495937196,0.08101613768577162,0.09313984727360033
26,229,0.18315194528645923,0.08237777943400205,0.10077416585245717
27,244,0.17699240231409719,0.07803272263310117,0.09895967968099602
28,205,0.18042656298804505,0.07845629808846545,0.1019702648995796
29,208,0.17395175829428242,0.08233132004633228,0.09162043824795013
30,173,0.18329630941804656,0.07928238434415558,0.10401392507389098
31,156,0.18090769313647287,0.08289521965433867,0.0980124734821342
32,161,0.17769530164328626,0.06525528862113385,0.11244001302215241
33,163,0.1740895676944807,0.08414520560712209,0.0899443620873586
34,136,0.18452034383543617,0.07632488827624631,0.10819545555918986
35,147,0.18133976284855616,0.09528723000240147,0.08605253284615469
36,136,0.16713008776825358,0.06714213799262184,0.09998794977563175
37,106,0.185572997728622,0.08788233130316835,0.09769066642545367
38,103,0.18769506803311004,0.08410807957344812,0.10358698845966191
39,108,0.18121399479664108,0.08821592904791926,0.09299806574872181
40,99,0.1879496582294665,0.08099529356095309,0.10695436466851341
41,84,0.18401235743534397,0.09301114339938421,0.09100121403595976
42,86,0.1832751505493072,0.08509118093651469,0.09818396961279252
43,85,0.17180086688950322,0.08255954641292707,0.08924132047657615
44,70,0.1794061800464026,0.07496464284216425,0.10444153720423835
45,65,0.1710693279399664,0.0797822923522117,0.09128703558775471
46,61,0.1751157554551924,0.0567859174339302,0.1183298380212622
47,69,0.17302561762932858,0.05157912444004396,0.12144649318928463
48,64,0.20195403003258955,0.04397531690161858,0.15797871313097098
49,63,0.17215604012105015,0.07670290256761224,0.09545313755343791
50,54,0.1832060487158764,0.07713746749897424,0.10606858121690216
51,53,0.18358198382961513,0.09934711336967982,0.08423487045993532
52,65,0.1838422584802714,0.09438797871867839,0.089454279761593
53,53,0.18688168571575964,0.10833317539192394,0.0785485103238357
54,42,0.19524716726785082,0.03860719202569616,0.15663997524215467
55,47,0.19979518224537546,0.1315751698473332,0.06822001239804226
56,44,0.18919505084424812,0.1315751698473332,0.057619880996914924
57,36,0.19620630378484846,0.09129009925026649,0.10491620453458197
58,36,0.1651631777492918,0.1315751698473332,0.033588007901958594
59,48,0.17903013558509162,0.1315751698473332,0.047454965737758426
60,39,0.19985393411507316,0.1315751698473332,0.06827876426773996
61,38,0.20327904051951368,,
62,41,0.15523909224279167,0.1315751698473332,0.023663922395458475
63,40,0.1896951695170315,0.07496464284216425,0.11473052667486724
64,40,0.18336220527414696,0.1315751698473332,0.05178703542681376
65,36,0.19637686606861182,0.1315751698473332,0.06480169622127863
66,31,0.22049196987733935,0.1315751698473332,0.08891680003000615
67,36,0.20630343253554517,,
68,24,0.1669449431007336,,
