model,cg_coef,ci_low,ci_high,ols_coef
cosine ~ cg,0.00853961773334519,0.00452664110796923,0.01444651116190462,0.008539617733345191
cosine ~ cg + C(hops),0.004603604659055633,0.0016143025955429548,0.008646982474186037,0.004603604659055634
