source,target,flow,entropyStoT,entropyTtoS
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:2226gffcagcoqwph6xu442uq,,8.124121311829187,0.0
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:2226jvpsrgauev44pli6rmsy,,5.923838456542115,16.171300501850776
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:2226rtwkkrypajomgnddnnoc,,6.2763607168025235,20.73017403115437
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:2226ru3d3ieiqxjghrttb7yd,,6.377999404877011,21.89314036770195
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:2226trwkopr3k5yyrlbgm7zv,,8.124121311829187,0.0
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:2226xwprhlf5q3z7lzonrkuv,,9.47681145166715,8.595125251844733
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:22276lpj4kecg2qc6pv5xivu,,6.343491983209092,12.44727065393048
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:2227h77756cktbphey6m6y5r,,7.7992820011186135,21.682591190312987
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:2227k6igey6rmlyvxg2puyhq,,6.31876102031159,6.420098551262882
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:2227nsm4lcznprxtacpgw52h,,8.124121311829187,0.0
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:2227p6oop4oojqadoenaumlq,,8.05291954748362,18.618446820415524
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:2227vc3u54yjox7qzxn6mfdz,,6.499297049463349,2.7219512195121953
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222a2yqewbntoas5rnzwryur,,8.124121311829187,3.77027027027027
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222a4cqdrpujgkbkrdu5kkd3,,8.124121311829187,0.0
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222a6t4msmqix6cn5o4dpike,,7.582513224373908,7.177378535500484
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222aeo7rjiih7xoqlioyiri4,,9.730481662122685,8.913861849140574
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222aghp2n7l7wzhaigsjbfhs,,6.230154380237106,17.50859293171822
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222arvgfy7r3wpyqpgurdlta,,6.400822851744208,16.3375227725178
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222axrze3sut6klpkenqhuse,,8.124121311829187,21.396503439362704
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222axuht4phf4yuvtnjhqgxr,,8.050516425349725,40.376842410119735
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222ayg4urx7hkuh52vvbiqkp,,6.34487160304015,
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222bjgmkskyf2x5eyip3qnae,,7.988719289965368,10.941716071813026
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222bnvi2aulkgqacoddmju3i,,7.954561611128579,18.4938071230734
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222bqc56tzyocafya5obbqlv,,6.443268626623148,10.430361865619064
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222btihw3io4xfsbuc6cff6q,,6.035831422387191,144.5442366620042
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222bulsrcqgttmem5qn2je2i,,6.168521271155036,23.10253021310099
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222bwnpbskmd7unvsozaevrd,,6.970899244483555,183.75966950266405
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222c4ujlb2zpqctx3pngimf4,,8.124121311829187,16.086357026663432
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222chlfbyclkslvbpmrm2g7g,,8.124121311829187,4.133333333333334
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222cnjtzg2j3iihaqrigdg2m,,5.624391677420206,27.637783606325158
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222cnurbhyzmtmlo57ormroj,,7.543826932412817,10.838203978193095
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222cpkpb5w3q4ssyqalnd6qh,,6.443268626623148,10.344867096228743
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222ctodhyojzyyajul4clkvh,,6.158608091225351,25.828838160301014
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222cw2yrie6akscmbqvbz6yj,,7.896948811764722,23.694455271438382
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222d3nopienftnwyossqtyxz,,6.397745533065485,17.380902666575686
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222d4ryfxhgu45zcoz2y6qbj,,8.124121311829187,0.0
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222dcue4g2fwnnwd6zp2bld7,,6.499297049463349,52.3125
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222ddcbdqawa6k75fragnl2k,,8.124121311829187,1293.0431717413437
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222dfxxvbzknzae2fvpr4qkr,,6.383238173580075,9.358980758576232
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222dgisxc5xo2e7brji4cqrb,,6.453741229023185,14.421129606309828
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222djocgpasd5dhicpwc6i7y,,6.834578246459475,8.568444586920187
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222dmmcqcmplw4uud3irngaa,,6.2652121981055595,33.24880483516566
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222do4uboklgjhanwmwc5abd,,7.6691705183667525,15.869895956793007
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222dqowrvjk72i563mk6y5la,,8.124121311829187,5.292243400365348
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222e25cdvuwnnhadsfr5ml27,,6.120171388244654,15.470162036697864
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222e4pq3i2kmr7oqfdwdof6h,,8.124121311829187,4.185
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222e6kl22k5oj4ypa3ub6mcf,,8.124121311829187,6.865318062767215
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222ebt2v7hq5mmmr3mv5njq7,,7.693963264030771,23.964654743898112
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222ek5zgsutpla7t5zkrilfb,,6.375025825622981,32.992938935680854
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222emhgv4bzg6wdqq2leimni,,6.96105266248612,22.657503481604166
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222emiq7qplibdfilnskxrj6,,7.987526798179537,18.591717284794026
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222ewmjskyx4pbxzsbfjkjcp,,11.970114911578111,7.705254740387042
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222f2z5iwurh66tgnskt5zry,,5.169895380254937,31.33008093016286
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222f4257uytraiyym7czwnzd,,7.9594885805307465,19.670486998893235
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222f4ja42uw3s76lvxl62wfz,,6.466137370639557,24.174216705943728
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222fef4ppt4wsjlbwifigzik,,7.894242638053956,18.53207130000621
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222fhcfbvum5owaxekl5lcro,,8.086509639089238,86.46983220141837
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222fm77buhenx26qdm5tuvnv,,8.124121311829187,11.180241332297605
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222fp75j6w5q6b6w7z2mzej2,,6.874256494624697,7.97670596363476
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222fudvr3xupdujxqlf7ct4r,,6.024629287423892,12.309386564240938
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222fverq656mrsorzdwtpbuq,,6.351585752884637,20.13632796633412
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222fziggvocs4jqoqkydouc7,,8.067309274683529,14.861303570861478
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222g62c2b7tytm2drwbbbdbx,,6.060852407237647,25.405414583902637
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222g6nxfw2vxberv5zpvzepg,,,2.5484259282728003
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222gb7gbd46b25t54ekvocib,,6.26861212332499,15.547630523365779
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222gc6itec62e2idxhuj5fnk,,8.124121311829187,7.408922501490389
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222gc7bdu5yfa44qzn4jyoli,,8.124121311829187,17.16114687956601
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222ggey6xg5meogj2s2dvbra,,7.646231822898058,9.223140495867769
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222ggoqck42z5qwukkvpud3x,,6.449044752689148,29.14055741423129
did:plc:2222cxntd4c3qttyd7smldsp,did:plc:222gip3vc535tkl7nhlphpgg,,7.948654328852315,15.679741783266877
