shared_packs,mean,std,count,err_low,err_high,ci_low,ci_high
0,0.02366435216387218,0.053542588361314286,253,0.009188105528695718,0.013592641297966924,0.014476246635176462,0.037256993461839104
1,0.12466377951670776,0.10718506579977576,328,0.02023814114276258,0.020117691794716452,0.10442563837394518,0.14478147131142421
2,0.1518597393420435,0.11623834000985027,329,0.018942273145381466,0.02126969512231336,0.13291746619666203,0.17312943446435686
3,0.17774210428810655,0.1386354277363722,351,0.021364311608887326,0.0321796204957015,0.15637779267921922,0.20992172478380805
4,0.1799878108256005,0.12780060335293458,347,0.02249793524619298,0.02521734463215708,0.15748987557940752,0.20520515545775758
5,0.18526136666523307,0.1370122077240386,369,0.024834411218579544,0.026115396033061844,0.16042695544665353,0.21137676269829492
