hops,hops_int,slope,ci_low,ci_high,n_pairs
1,1,0.004236372824356135,0.0005443283871125208,0.009024790011978206,810
2,2,0.004976330334341966,0.0010008412005706585,0.01367243428146812,972
3,3,,,,164
unreachable,4,0.008295261658853994,-0.0018970622546589746,0.01841340363832607,31
