shared_packs,mean,std,count,err_low,err_high,ci_low,ci_high
1,0.19544158439344822,0.13407680472905062,810,0.0141381598027355,0.01608465256615499,0.18130342459071272,0.2115262369596032
2,0.13153688734500865,0.11733288048318549,972,0.011436350706870699,0.013213059006355304,0.12010053663813795,0.14474994635136396
3,0.014269210934745324,0.03358925107782037,164,0.006181409065786923,0.010922698028828372,0.0080878018689584,0.025191908963573695
4,0.04973096232942383,0.043341096387842046,31,0.04973096232942383,0.017766394530459424,0.0,0.06749735685988326
