shared_packs,n_obs,obs_mean_cosine,matched_zero_mean_cosine,diff_obs_minus_matched
1,22791,0.10403108068834489,0.05280692082773429,0.0512241598606106
2,22498,0.11903472428546406,0.05795626694832655,0.061078457337137515
3,23645,0.13243538180315917,0.06272002234529264,0.06971535945786653
4,23993,0.1382318532130297,0.06535563264398793,0.07287622056904176
5,24173,0.14131331035029668,0.06764525002625178,0.0736680603240449
6,24180,0.14510942907221272,0.06889288484199804,0.07621654423021468
7,24221,0.14834164088993135,0.07104079720411546,0.07730084368581588
8,3667,0.1514496869041778,0.07243349072986265,0.07901619617431514
9,2747,0.15227290981456695,0.07433150488211668,0.07794140493245028
10,2193,0.15141682283188235,0.07373303700085355,0.07768378583102879
11,1659,0.1524757097157502,0.07312538439619022,0.07935032531955998
12,1367,0.15949665899664875,0.07363912678033456,0.08585753221631419
13,1125,0.15863608010498673,0.07677985022895122,0.08185622987603551
14,996,0.15445933264923117,0.07781713991218661,0.07664219273704456
15,839,0.15505138038807714,0.07572609567683429,0.07932528471124285
16,682,0.15858175715671358,0.07780051716452491,0.08078123999218867
17,604,0.158659698940098,0.06835420916196908,0.09030548977812891
18,593,0.154071406781505,0.0678275684365569,0.08624383834494809
19,455,0.15243630866583371,0.07232928624130074,0.08010702242453298
20,458,0.15558321241197023,0.07594585769895691,0.07963735471301332
21,403,0.15410686945574367,0.07194893570440737,0.0821579337513363
22,340,0.16017182364862484,0.07005444461547244,0.0901173790331524
23,307,0.15989446568836985,0.0742697187049498,0.08562474698342004
24,267,0.15567331713935076,0.07314787609863721,0.08252544104071355
25,247,0.16247781329845404,0.07130501336391884,0.0911727999345352
26,229,0.17156682587970565,0.07180475553214263,0.09976207034756301
27,244,0.1652358391798179,0.0687301838818747,0.09650565529794321
28,205,0.16874866541882916,0.06831845379741792,0.10043021162141123
29,208,0.16216302744699357,0.07270246478815122,0.08946056265884235
30,173,0.1718111584143424,0.0698281152515556,0.10198304316278681
31,156,0.16974387347536352,0.07379246530952291,0.09595140816584061
32,161,0.1654470390796939,0.05689874909892738,0.10854828998076653
33,163,0.16228279498075635,0.07527927673972076,0.08700351824103558
34,136,0.17293003027504353,0.0677196836093587,0.10521034666568482
35,147,0.16963311700781633,0.08656646208099297,0.08306665492682336
36,136,0.15547659194409394,0.056960877334478084,0.09851571460961586
37,106,0.1738023382110061,0.0783795882555646,0.0954227499554415
38,103,0.1762659464435777,0.07429663190294436,0.10196931454063335
39,108,0.17017708172448542,0.0781711991368003,0.09200588258768512
40,99,0.1753988253729919,0.0716985234566204,0.1037003019163715
41,84,0.17128128750956387,0.08358838401771257,0.0876929034918513
42,86,0.17165100655243729,0.07558586350897765,0.09606514304345963
43,85,0.16155826035127605,0.07374849613325377,0.08780976421802228
44,70,0.16688540681815983,0.06823639400608207,0.09864901281207776
45,65,0.15897788750715838,0.07064192959164153,0.08833595791551685
46,61,0.16330727279379917,0.048226975314435004,0.11508029747936416
47,69,0.1625293425196538,0.04375074154418979,0.11877860097546403
48,64,0.18981412922182317,0.036657522748622245,0.15315660647320092
49,63,0.1600940105973298,0.06810328986906637,0.09199072072826343
50,54,0.17175255781142582,0.06807001383481245,0.10368254397661336
51,53,0.17275872644273302,0.0899904004247005,0.08276832601803252
52,65,0.17110930824518994,0.08505952488621563,0.08604978335897431
53,53,0.17498570413926048,0.09927001695207255,0.07571568718718794
54,42,0.18325655000872235,0.028217556622787927,0.1550389933859344
55,47,0.18919251093788195,0.1229541703951674,0.06623834054271455
56,44,0.1768477808684798,0.1229541703951674,0.0538936104733124
57,36,0.1849430352429302,0.08174945793208377,0.10319357731084644
58,36,0.15254482360890376,0.12295417039516739,0.02959065321373637
59,48,0.16738356948681746,0.1229541703951674,0.04442939909165006
60,39,0.1875891646135113,0.1229541703951674,0.0646349942183439
61,38,0.19299585982850984,,
62,41,0.14385610288887937,0.1229541703951674,0.020901932493711972
63,40,0.17809638283195167,0.06823639400608207,0.1098599888258696
64,40,0.1709981016375384,0.1229541703951674,0.048043931242370996
65,36,0.1850305895660991,0.1229541703951674,0.06207641917093171
66,31,0.2097833348807881,0.1229541703951674,0.0868291644856207
67,36,0.19456410971559113,,
68,24,0.15537554209768076,,
69,36,0.16846712872573,0.1229541703951674,0.0455129583305626
70,38,0.17161532423269674,0.1229541703951674,0.048661153837529336
71,28,0.191059107524913,0.1229541703951674,0.06810493712974561
72,32,0.16455686357663799,0.1229541703951674,0.041602693181470585
73,28,0.16622388166848803,0.1229541703951674,0.04326971127332063
74,28,0.20373920070845927,,
75,28,0.16088088507361126,,
76,27,0.17253764880591285,,
77,27,0.17392474541495584,0.1229541703951674,0.05097057501978844
78,22,0.19188693703599846,,
79,22,0.16819812503426682,0.1229541703951674,0.045243954639099415
80,29,0.17741654797850295,,
81,22,0.17272234210018883,,
82,22,0.1907763645416405,,
83,17,0.20258257389378476,,
84,18,0.16016447667886577,0.1229541703951674,0.03721030628369837
85,17,0.15990868241975828,,
86,21,0.1595207054682001,,
87,20,0.16090732979171835,0.1229541703951674,0.037953159396550945
88,13,0.163471201747574,,
89,21,0.15409162196650478,0.1229541703951674,0.031137451571337377
90,19,0.17769037813752317,0.1229541703951674,0.05473620774235577
91,11,0.11798119659041907,,
92,10,0.15444329405082832,,
93,10,0.18549299724481205,,
94,16,0.16224286992590578,,
95,12,0.11794783008881415,,
96,11,0.20763192056650465,0.1229541703951674,0.08467775017133725
97,14,0.185470734027068,,
98,13,0.19479834102893226,,
99,16,0.15181919368450464,,
100,5,0.20724129785017587,,
101,13,0.14472246973983033,,
102,9,0.20576393777153024,,
103,11,0.2156303684196285,,
104,15,0.19074255966910852,0.1229541703951674,0.06778838927394112
105,17,0.1526789785847459,,
106,11,0.17705371942630252,,
107,11,0.13214788082590725,,
108,11,0.17561857667650274,,
109,7,0.1498411393857513,,
110,11,0.16746894074278107,,
111,14,0.17401446613676247,,
112,10,0.21073666029895494,,
113,9,0.19513998830751475,,
114,8,0.20424424077319325,,
115,15,0.16620807226011072,,
116,6,0.25114686209510356,,
117,8,0.19447159844804243,,
118,7,0.19987022354832407,,
119,12,0.19118898460342584,,
120,6,0.12058700576168109,,
121,12,0.19364200978651416,,
122,14,0.20527504007416572,,
123,6,0.18537076143158607,,
124,9,0.1482946166531637,,
125,10,0.13890400889274032,,
126,9,0.21685138753216424,,
127,5,0.13212538688869158,,
128,4,0.12131864585593122,,
129,11,0.18769273273136788,0.1229541703951674,0.06473856233620048
130,8,0.16867233074057242,,
131,3,0.14612599148800912,,
132,8,0.1509210311138917,,
133,9,0.1336608020745777,,
134,6,0.2031926805250951,,
135,7,0.19791110826696046,,
136,9,0.21667778030418855,,
137,5,0.1164144115841255,,
138,11,0.18318112091306063,,
139,6,0.20707717278798887,,
140,7,0.11904411525117875,,
141,2,0.1738439568985978,,
142,7,0.14156125241877748,,
143,10,0.15329171814100814,,
144,9,0.1912247527927178,,
145,7,0.19525961223852115,,
146,3,0.159306203624588,,
147,6,0.13746083323154876,,
148,4,0.2584879172745662,,
149,8,0.14860777189354638,,
150,2,0.12898121062601775,,
151,3,0.269314415777306,,
152,3,0.15549508358975553,,
153,8,0.19746530934223416,,
154,3,0.2578137273327639,,
155,4,0.15310955632857257,,
156,5,0.1722545796862445,,
157,10,0.18005699183609228,,
158,3,0.2081303469147701,,
159,5,0.23937793223176085,,
160,4,0.18799918418093328,,
161,9,0.17882013588443454,,
162,1,0.08100118566146026,,
163,4,0.24853470887317763,,
164,3,0.2126151160130476,,
165,3,0.15446828547781613,,
166,5,0.27829781515292107,,
167,4,0.1905356280686779,,
168,8,0.19457310972257763,,
169,3,0.2259457778925726,,
170,6,0.19724500366281025,,
171,4,0.24844133833489895,,
172,3,0.1624069789207622,,
173,5,0.14109599949183993,,
174,5,0.17470379270785935,,
175,9,0.1833940411367605,,
176,5,0.23725885260346485,,
177,5,0.22599691719595322,,
178,1,0.19568271885053343,,
179,3,0.20180735417543594,,
180,4,0.1583493679088385,,
181,4,0.19922711821967404,,
182,2,0.2437628413048171,,
183,4,0.1833581061872991,,
184,4,0.1609691124228329,,
185,8,0.23032184575833076,,
186,2,0.15866866033126217,,
187,4,0.13691855673322245,,
188,3,0.2347347506790526,,
189,3,0.13857909623663245,,
190,3,0.20773191507602343,,
191,4,0.19856498273428408,,
192,2,0.1828675002751765,,
193,5,0.18566964447572648,,
194,2,0.15396054659422023,,
195,2,0.19824776987957116,,
196,5,0.18171966887369378,,
197,2,0.23171333324674223,,
198,4,0.15427278735917496,,
199,3,0.12187848561512493,,
200,3,0.14302923302154366,,
201,1,0.06412379404876627,,
202,4,0.14186953610025735,,
203,5,0.17782187876641378,,
204,7,0.21561761107167499,,
205,2,0.21999589830683441,,
206,1,0.24535126621924677,,
207,3,0.15968126564564003,,
209,4,0.23606518031652557,,
210,4,0.16935970691207117,,
211,6,0.18637131420323058,,
212,3,0.20711748774384653,,
213,3,0.2127361248303203,,
214,1,0.13106289300853907,,
215,5,0.12026081605450871,,
216,4,0.2035503050795005,,
217,3,0.16643198683764557,,
218,9,0.13938490118041014,,
219,2,0.08327099083431912,,
220,2,0.08439849550709118,,
221,1,0.27515834462739897,,
222,1,0.08598988345051842,,
225,3,0.1656498500909593,,
226,6,0.11849461834434726,,
227,2,0.13866606805762122,,
228,2,0.19176969414253378,,
229,3,0.19672629536280536,,
230,1,0.02196686092767991,,
231,2,0.16407473278874823,,
232,4,0.14984125032998316,,
233,1,0.25827228335547775,,
234,5,0.201303563432168,,
236,2,0.17080129395096239,,
237,6,0.20921863365166873,,
238,4,0.10464082265096449,,
239,4,0.2483472013380672,,
240,2,0.14807907027422507,,
241,3,0.1960091703079173,,
242,2,0.21969968590500796,,
243,1,0.0024663843195711047,,
244,3,0.16987143011804137,,
245,2,0.17842657832575048,,
246,2,0.23317860034336552,,
247,2,0.14809427691637161,,
248,2,0.14702220141062988,,
249,2,0.152855482091965,,
250,2,0.15672251381703817,,
251,1,0.13627502314057957,,
252,2,0.26573106795058465,,
253,5,0.15666085034807398,,
254,1,0.066004848828415,,
255,1,0.348337253527263,,
256,2,0.16619572889221002,,
257,1,0.14855296946051375,,
258,2,0.21211418850187946,,
259,5,0.22013030272260678,,
260,4,0.16604083021185573,,
261,1,0.08058493035969042,,
262,2,0.1122702388409774,,
263,3,0.20314104130882205,,
264,2,0.23385331462734177,,
265,1,0.2402836705317754,,
266,2,0.3469637937406982,,
267,4,0.12538768848009052,,
268,1,0.0515660822471289,,
269,1,0.272901041866037,,
270,1,0.159514409400501,,
271,1,0.39348928262300886,,
273,3,0.2268965053105827,,
275,1,0.34367949254824537,,
276,3,0.19672284809197152,,
277,3,0.1460347115109836,,
278,5,0.14868953059220585,,
280,1,0.3018588443168715,,
281,2,0.1647970556180025,,
283,3,0.14792966543363698,,
285,4,0.24076826641468563,,
286,1,0.2499425853213154,,
287,3,0.13223659375171345,,
288,5,0.18735874722138307,,
289,2,0.15469954751530868,,
290,1,0.26006918045278393,,
291,2,0.25043987976947124,,
292,1,0.2591141596497397,,
293,2,0.22005055918142463,,
294,1,0.1514089163792204,,
297,1,0.21857350184625116,,
299,3,0.1697513143061485,,
300,1,0.19237482945515688,,
301,2,0.11576203386018478,,
302,3,0.16708915748694184,,
303,2,0.15714055869577628,,
304,1,0.18230867406493376,,
307,2,0.3251807839109483,,
308,1,0.02434844596930614,,
309,2,0.23089834080673172,,
310,3,0.11172332868547809,,
311,1,0.20756564002411312,,
312,1,0.20673571625145196,,
