shared_packs,n_obs,obs_mean_cosine,matched_zero_mean_cosine,diff_obs_minus_matched
1,22791,0.07309354498972902,0.03077320141049627,0.04232034357923275
2,22498,0.08695907388395205,0.034408464932247876,0.05255060895170417
3,23645,0.09797405490786726,0.03751030542882481,0.06046374947904245
4,23993,0.10283633613835724,0.039303950741254944,0.06353238539710229
5,24173,0.10523826926588371,0.040819934613184186,0.06441833465269953
6,24180,0.10829008314810014,0.041787560803937564,0.06650252234416257
7,24221,0.11055592608791856,0.04328029516604704,0.06727563092187153
8,3667,0.11319668125191631,0.0439866164249765,0.06921006482693981
9,2747,0.11364269845796583,0.04542990190514896,0.06821279655281687
10,2193,0.11296845855846678,0.04493295849713287,0.06803550006133391
11,1659,0.11344332574889526,0.04454398520593059,0.06889934054296468
12,1367,0.11895088407841684,0.04434779426278287,0.07460308981563396
13,1125,0.11878111088911315,0.046791542631015044,0.0719895682580981
14,996,0.11472866273025427,0.04749512357854057,0.0672335391517137
15,839,0.1161158609865728,0.045815744969406894,0.0703001160171659
16,682,0.11975123365360818,0.04742544845088392,0.07232578520272426
17,604,0.11746508274740004,0.040883936559509566,0.07658114618789047
18,593,0.11407133530971458,0.0401628000829612,0.07390853522675339
19,455,0.11333173537420099,0.045055808353073046,0.06827592702112795
20,458,0.11623912294194394,0.04596916868053664,0.07026995426140731
21,403,0.1160866540940842,0.04303113346180249,0.07305552063228171
22,340,0.12097487798216558,0.040905512848466045,0.08006936513369953
23,307,0.12003561026207712,0.045431503291413655,0.07460410697066347
24,267,0.11523254199638762,0.04370695722425557,0.07152558477213206
25,247,0.12079485282041809,0.04297075525823394,0.07782409756218414
26,229,0.12965356552068522,0.04252218841593495,0.08713137710475027
27,244,0.12330740389059083,0.04153559573801436,0.08177180815257648
28,205,0.12670865127292819,0.03971018013563179,0.08699847113729639
29,208,0.12090592137789151,0.044852311547406036,0.07605360983048548
30,173,0.1298571777414166,0.0424467479536744,0.08741042978774222
31,156,0.12954994010051182,0.046704888466603235,0.0828450516339086
32,161,0.12224758927418473,0.03455694337078014,0.08769064590340458
33,163,0.12072071270972227,0.048188360309315593,0.07253235240040667
34,136,0.131550943157561,0.042406992380941054,0.08914395077661993
35,147,0.127778539777999,0.057812407972637724,0.06996613180536126
36,136,0.11514791272890398,0.032656362661214355,0.08249155006768963
37,106,0.13117667042439748,0.049120132784822766,0.08205653763957471
38,103,0.13543260237916854,0.04633685519354264,0.0890957471856259
39,108,0.13014276167097125,0.048634615528442705,0.08150814614252855
40,99,0.13080304771223522,0.04550830172594408,0.08529474598629114
41,84,0.12655996209777126,0.054325476291301376,0.07223448580646988
42,86,0.12911667173470492,0.04781767284220945,0.08129899889249548
43,85,0.1258030317492143,0.047455160597946855,0.07834787115126746
44,70,0.12231885929605912,0.046367623865159115,0.07595123543090002
45,65,0.11727729766723548,0.04442841480610984,0.07284888286112565
46,61,0.1211520746955599,0.02769449166185185,0.09345758303370805
47,69,0.12362258141431398,0.025357237396186515,0.09826534401812746
48,64,0.14388167309591104,0.02050341494271588,0.12337825815319517
49,63,0.11700091042204387,0.043433174106288844,0.07356773631575503
50,54,0.13196745786101308,0.042699561666571274,0.08926789619444181
51,53,0.1347740007860399,0.059531719050574916,0.07524228173546499
52,65,0.12867458886191546,0.05557693551894242,0.07309765334297305
53,53,0.13377774794138603,0.06721582953404187,0.06656191840734416
54,42,0.13893603649483893,0.009021359458544587,0.12991467703629433
55,47,0.14633921371132552,0.0866139862258743,0.05972522748545123
56,44,0.13155761390643866,0.0866139862258743,0.04494362768056437
57,36,0.14232660148543108,0.05276115225675007,0.08956544922868101
58,36,0.1099235276420008,0.0866139862258743,0.02330954141612651
59,48,0.1258443624051692,0.0866139862258743,0.039230376179294896
60,39,0.1418174400256957,0.0866139862258743,0.05520345379982142
61,38,0.15234771185007878,,
62,41,0.10386013009852073,0.0866139862258743,0.017246143872646433
63,40,0.13573877520436942,0.046367623865159115,0.08937115133921031
64,40,0.1277469146221509,0.0866139862258743,0.04113292839627661
65,36,0.143335609086503,0.0866139862258743,0.056721622860628707
66,31,0.16735154493111604,0.0866139862258743,0.08073755870524174
67,36,0.15092872135719573,,
68,24,0.11454736846859205,,
69,36,0.12687878425267457,0.0866139862258743,0.040264798026800275
70,38,0.1291361833816384,0.0866139862258743,0.04252219715576411
71,28,0.15092969511866441,0.0866139862258743,0.06431570889279012
72,32,0.12590721509810004,0.0866139862258743,0.03929322887222575
73,28,0.12885753589560683,0.0866139862258743,0.04224354966973254
74,28,0.15777190882895425,,
75,28,0.11580857644840817,,
76,27,0.1319066474051438,,
77,27,0.12585445803821255,0.0866139862258743,0.03924047181233825
78,22,0.14555385105290763,,
79,22,0.12359536927408378,0.0866139862258743,0.036981383048209485
80,29,0.13547423126687866,,
81,22,0.1299241667166629,,
82,22,0.14979282090047263,,
83,17,0.15634090435320502,,
84,18,0.11611036857901873,0.0866139862258743,0.029496382353144432
85,17,0.11462780922743036,,
86,21,0.11811847661325786,,
