shared_packs,mean,std,count,err_low,err_high,ci_low,ci_high
1,0.1552170787348036,0.07703893367906532,79013,0.0021223565659164445,0.001896282462448079,0.15309472216888714,0.15711336119725167
2,0.12820238835251876,0.07694186487744828,94177,0.002067312507492508,0.002039376532736281,0.12613507584502626,0.13024176488525505
3,0.05790465086425903,0.06251252358936597,27978,0.002833330631717229,0.0032092997253779718,0.0550713202325418,0.061113950589637
4,0.05154830410249534,0.059745487863320734,11346,0.012246710108577766,0.010280415628652395,0.039301593993917576,0.06182871973114774
